CMDLINE /home/dragonly/anaconda3/envs/grpc_test/bin/python greeter_server.py
MEM 0.582031 1637737084.4386
MEM 19.343750 1637737084.5391
MEM 46.613281 1637737084.6395
MEM 58.128906 1637737084.7399
MEM 58.128906 1637737084.8404
MEM 58.128906 1637737084.9409
MEM 58.128906 1637737085.0414
MEM 58.128906 1637737085.1419
MEM 58.128906 1637737085.2424
MEM 58.128906 1637737085.3430
MEM 58.128906 1637737085.4435
MEM 58.128906 1637737085.5440
MEM 58.128906 1637737085.6445
MEM 58.128906 1637737085.7450
MEM 58.128906 1637737085.8455
MEM 58.128906 1637737085.9460
MEM 58.128906 1637737086.0465
MEM 58.128906 1637737086.1470
MEM 58.128906 1637737086.2475
MEM 58.128906 1637737086.3480
MEM 58.128906 1637737086.4485
MEM 58.128906 1637737086.5490
MEM 58.128906 1637737086.6495
MEM 58.128906 1637737086.7500
MEM 58.128906 1637737086.8505
MEM 58.128906 1637737086.9510
MEM 58.128906 1637737087.0515
MEM 58.128906 1637737087.1520
MEM 58.128906 1637737087.2525
MEM 58.128906 1637737087.3530
MEM 58.128906 1637737087.4535
MEM 58.128906 1637737087.5540
MEM 58.128906 1637737087.6545
MEM 58.128906 1637737087.7550
MEM 58.128906 1637737087.8555
MEM 58.128906 1637737087.9560
MEM 58.128906 1637737088.0565
MEM 58.128906 1637737088.1570
MEM 58.128906 1637737088.2575
MEM 58.128906 1637737088.3580
MEM 58.128906 1637737088.4586
MEM 58.128906 1637737088.5591
MEM 58.128906 1637737088.6596
MEM 58.128906 1637737088.7601
MEM 58.128906 1637737088.8606
MEM 58.128906 1637737088.9611
MEM 58.128906 1637737089.0616
MEM 58.128906 1637737089.1621
MEM 58.128906 1637737089.2626
MEM 58.128906 1637737089.3631
MEM 58.128906 1637737089.4636
MEM 58.128906 1637737089.5642
MEM 58.128906 1637737089.6647
MEM 58.128906 1637737089.7652
MEM 58.128906 1637737089.8657
MEM 58.128906 1637737089.9662
MEM 58.128906 1637737090.0667
MEM 58.128906 1637737090.1678
MEM 58.128906 1637737090.2684
MEM 58.128906 1637737090.3688
MEM 58.128906 1637737090.4693
MEM 58.128906 1637737090.5698
MEM 58.128906 1637737090.6704
MEM 58.128906 1637737090.7709
MEM 58.128906 1637737090.8714
MEM 58.128906 1637737090.9719
MEM 58.128906 1637737091.0724
MEM 58.128906 1637737091.1729
MEM 58.128906 1637737091.2734
MEM 58.128906 1637737091.3739
MEM 58.128906 1637737091.4744
MEM 58.128906 1637737091.5750
MEM 58.128906 1637737091.6755
MEM 58.128906 1637737091.7759
MEM 58.128906 1637737091.8765
MEM 58.128906 1637737091.9770
MEM 58.128906 1637737092.0775
MEM 58.128906 1637737092.1780
MEM 58.128906 1637737092.2785
MEM 58.128906 1637737092.3790
MEM 58.128906 1637737092.4795
MEM 58.128906 1637737092.5800
MEM 58.128906 1637737092.6805
MEM 58.128906 1637737092.7810
MEM 58.128906 1637737092.8815
MEM 58.128906 1637737092.9820
MEM 58.128906 1637737093.0826
MEM 58.128906 1637737093.1831
MEM 58.128906 1637737093.2836
MEM 58.128906 1637737093.3841
